"('Q10', 'In which domain is the class you spent more time on (e.g., lecture hours, homework, exercises, course project, individual study time)?\nTime spent is an individual assessment, do not refer on the indication of your Syllabus but on the actual time YOU spent on the subject.\n\n Remember to think to this class when answering the the survey. - Selected Choice')","('Q14', 'I would recommend this instructor to other students.')","('Q15', 'I would recommend this class to other students.')","('Q16', 'I would take a class at this university again in the future.')","('Q17', 'I was very satisfied with this online class.')","('Q18', 'The academic quality of this online class is on par with face-to-face classes \rI’ve taken.')","('Q19', 'I have learned as much from this online class as I might have from a face-to-face\r version of the course.')","('Q20', 'I learn more in online classes than in face-to-face classes.')","('Q21', 'The quality of the learning experience in online classes is better than in face-to-face classes.')","('Q22', 'The instructor stressed the importance of fostering relationships as an\n effective practice for teaching.')","('Q23', 'The instructor showed to students empathy and passion for teaching.')","('Q24', 'The instructor showed a strong desire to help students be successful at the university level.')","('Q25', 'The instructor was very engaged with the class.')","('Q26', 'We actively used education tools (e.g. e-mails, class discussion\n boards, \nsharing student biographies, and student group projects).')","('Q27', 'Discussions with the instructor were an important part of the the online course.')","('Q28', 'Timeliness was taken very seriously by the instructor.')","('Q29', 'The instructor returned graded assignments \rpromptly, frequently checked e-mails and responded to\r questions fast.')","('Q30', 'I had the impression the instructor checked her/his Email several times a day.')","('Q31', 'The instructor was willing to communicate with us, caring \rabout the students.')","('Q32', 'The instructor used a wording that was always very clear to me and I never took anything the wrong way.')","('Q33', 'I had a very good communication with my instructor.')","('Q35', 'It was easy to navigate \rthe online university course website.')","('Q36', 'I had a full understanding of what was required to be successful in the online classes.')","('Q37', 'The instructor was very effective in organising the whole online course.')","('Q38', 'The online platform where the course was run (e.g., Moodle, MS Teams, Zoom) was very effective.')","('Q39', 'The online platform was able to substitute effectively the in-person physical experience.')","('Q40', 'The different online tools choosen by the instructor (e.g., quizzes, wikis, chats) were NOT confusing.')","('Q41', 'The instructor was very patience with us students.')","('Q42', 'The instructor showed a high level of flexibility when new issues arose.')","('Q43', 'When some issues happened (i.e., of technological nature), the instructor was able to handle them and adapt to the new situation.')","('Q44', 'The course goals and learning objectives were clearly established.')","('Q45', 'To me, it was clear from the very beginning what was expected from me.')","('Q48', 'The instructor performed the course as I expected.')",count
Alghoritms and Data Structures,4.023809523809524,4.071428571428571,4.690476190476191,3.761904761904762,3.0,3.3095238095238093,2.7142857142857144,2.5,3.5,4.190476190476191,4.285714285714286,4.0476190476190474,4.380952380952381,3.7142857142857144,4.0476190476190474,3.8333333333333335,4.0476190476190474,4.5,3.8095238095238093,3.5238095238095237,4.5476190476190474,4.285714285714286,4.261904761904762,4.142857142857143,3.1666666666666665,4.333333333333333,4.666666666666667,4.523809523809524,4.285714285714286,4.738095238095238,4.428571428571429,4.4523809523809526,42
Computer Architecture and Compilers,4.2,3.933333333333333,4.266666666666667,3.6,2.8,3.0,2.2,2.533333333333333,2.6666666666666665,4.133333333333334,4.266666666666667,4.4,4.533333333333333,3.4,4.533333333333333,3.533333333333333,3.533333333333333,3.933333333333333,3.1333333333333333,3.1333333333333333,4.0,4.533333333333333,4.466666666666667,3.933333333333333,2.7333333333333334,3.466666666666667,4.4,3.933333333333333,4.6,4.266666666666667,4.6,4.333333333333333,15
Database,3.857142857142857,3.642857142857143,4.214285714285714,3.857142857142857,3.5714285714285716,3.7142857142857144,3.0714285714285716,3.2142857142857144,3.5714285714285716,4.0,4.0,3.2142857142857144,4.071428571428571,3.7857142857142856,4.428571428571429,3.857142857142857,3.5714285714285716,3.9285714285714284,3.7857142857142856,3.357142857142857,4.857142857142857,4.642857142857143,4.285714285714286,4.5,3.642857142857143,4.142857142857143,3.857142857142857,3.5714285714285716,3.5714285714285716,4.357142857142857,3.9285714285714284,4.5,14
Human-Computer Interaction and Interfaces,4.352941176470588,3.764705882352941,4.0,3.5294117647058822,3.0,3.0588235294117645,2.823529411764706,2.588235294117647,3.1176470588235294,4.235294117647059,4.529411764705882,3.823529411764706,4.411764705882353,3.7058823529411766,4.470588235294118,3.823529411764706,3.8823529411764706,4.294117647058823,3.8823529411764706,4.117647058823529,4.235294117647059,4.470588235294118,4.176470588235294,4.117647058823529,3.3529411764705883,4.176470588235294,4.235294117647059,4.0588235294117645,3.823529411764706,4.470588235294118,3.9411764705882355,3.7058823529411766,17
Machine Learning,3.823529411764706,3.764705882352941,4.176470588235294,3.4705882352941178,2.588235294117647,2.764705882352941,2.235294117647059,1.9411764705882353,2.9411764705882355,4.117647058823529,4.117647058823529,4.0588235294117645,4.0588235294117645,3.764705882352941,3.235294117647059,3.764705882352941,3.235294117647059,4.0,3.764705882352941,3.7058823529411766,4.0,3.823529411764706,3.764705882352941,3.9411764705882355,2.4705882352941178,4.0588235294117645,4.176470588235294,3.9411764705882355,3.764705882352941,3.8823529411764706,3.9411764705882355,3.6470588235294117,17
Mathematics,4.621621621621622,4.675675675675675,4.891891891891892,4.756756756756757,3.4864864864864864,3.4324324324324325,2.864864864864865,2.918918918918919,3.72972972972973,4.486486486486487,4.756756756756757,4.594594594594595,4.162162162162162,3.5135135135135136,4.162162162162162,3.945945945945946,4.162162162162162,5.0,4.324324324324325,4.135135135135135,4.72972972972973,4.72972972972973,4.5675675675675675,4.486486486486487,3.324324324324324,4.216216216216216,4.891891891891892,4.405405405405405,4.4324324324324325,4.8108108108108105,4.5675675675675675,4.675675675675675,37
Operating Systems,3.7777777777777777,4.111111111111111,4.0,3.7777777777777777,2.888888888888889,2.888888888888889,2.4444444444444446,2.5555555555555554,3.0,3.7777777777777777,4.0,3.888888888888889,4.333333333333333,3.888888888888889,3.111111111111111,3.5555555555555554,4.0,4.555555555555555,4.222222222222222,4.222222222222222,4.555555555555555,4.0,3.111111111111111,4.333333333333333,3.0,4.222222222222222,3.7777777777777777,3.5555555555555554,3.888888888888889,3.888888888888889,3.888888888888889,3.3333333333333335,9
Other,4.133333333333334,3.933333333333333,3.7333333333333334,3.466666666666667,2.7333333333333334,2.1333333333333333,1.7333333333333334,1.7333333333333334,2.8,3.7333333333333334,4.066666666666666,3.8,4.0,4.0,3.6666666666666665,3.6,3.6666666666666665,4.0,3.8,3.533333333333333,4.333333333333333,3.8666666666666667,4.133333333333334,3.7333333333333334,2.4,4.133333333333334,4.466666666666667,4.066666666666666,3.533333333333333,4.466666666666667,4.266666666666667,3.6,15
Parallel and Distributed Systems,4.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,1
Programming Languages,4.1,4.214285714285714,4.642857142857143,3.9,3.1714285714285713,3.342857142857143,2.8,2.757142857142857,3.4,4.0285714285714285,4.357142857142857,4.128571428571429,4.4,3.657142857142857,4.242857142857143,3.757142857142857,3.7285714285714286,4.2,3.942857142857143,3.7714285714285714,4.328571428571428,4.357142857142857,4.071428571428571,4.257142857142857,3.5,4.271428571428571,4.457142857142857,4.1571428571428575,4.071428571428571,4.571428571428571,4.3,4.242857142857143,70
Security,4.130434782608695,4.130434782608695,4.695652173913044,3.869565217391304,2.6956521739130435,3.0434782608695654,2.782608695652174,2.4347826086956523,3.347826086956522,4.217391304347826,4.391304347826087,4.608695652173913,4.3478260869565215,4.521739130434782,3.652173913043478,4.0,4.3478260869565215,4.304347826086956,4.086956521739131,3.9565217391304346,4.391304347826087,4.086956521739131,3.9130434782608696,4.478260869565218,3.0869565217391304,4.217391304347826,4.695652173913044,4.434782608695652,4.130434782608695,4.304347826086956,3.9565217391304346,4.086956521739131,23
Software Engineering and Design,4.025,3.825,3.875,3.95,3.15,3.2,2.775,2.65,3.65,3.975,4.175,4.15,4.05,3.85,3.75,3.375,3.675,4.3,3.9,4.1,4.0,4.3,3.85,4.05,3.25,3.725,4.325,4.175,4.05,4.3,4.125,4.0,40
